"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2010","21.16","20.35","21.81","20.22","1.13B","5.52%"
"10/01/2010","20.05","19.47","20.56","18.77","1.40B","4.43%"
"09/01/2010","19.20","17.94","19.62","17.75","1.35B","8.69%"
"08/01/2010","17.67","20.90","21.28","17.60","1.74B","-14.25%"
"07/01/2010","20.60","19.43","22.28","18.96","1.61B","5.91%"
"06/01/2010","19.45","21.30","22.00","19.40","1.36B","-9.20%"
"05/01/2010","21.42","22.98","23.44","19.90","1.83B","-6.22%"
"04/01/2010","22.84","22.40","24.37","22.16","1.55B","2.47%"
"03/01/2010","22.29","20.68","22.75","20.26","1.29B","8.57%"
"02/01/2010","20.53","19.47","20.97","18.95","1.13B","5.82%"
"01/01/2010","19.40","20.79","21.55","19.30","1.51B","-4.90%"
